"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE"
"glibc","glibc-2.26-146-gd300041c533a3d837c9f37a099bcc95466860e98","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","./COPYING ./COPYING.LIB ./LICENSES","glibc-glibc-2.26-146-gd300041c533a3d837c9f37a099bcc95466860e98.tar.gz","https://github.com/bminor/glibc/archive/glibc-2.26-146-gd300041c533a3d837c9f37a099bcc95466860e98"
"linux-headers","4.15.9","GPL-2.0","COPYING","linux-4.15.9.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v4.x"
"bash","4.4.12","GPL-3.0+","COPYING","bash-4.4.12.tar.gz","http://ftpmirror.gnu.org/bash"
"busybox","1.27.2","GPL-2.0","LICENSE","busybox-1.27.2.tar.bz2","http://www.busybox.net/downloads"
"ncurses","6.0","MIT with advertising clause","README","ncurses-6.0.tar.gz","http://ftpmirror.gnu.org/ncurses"
"readline","7.0","GPL-3.0+","COPYING","readline-7.0.tar.gz","http://ftpmirror.gnu.org/readline"
"e2fsprogs","1.43.9","GPL-2.0, MIT-like with advertising clause (libss and libet)","NOTICE lib/ss/mit-sipb-copyright.h lib/et/internal.h","e2fsprogs-1.43.9.tar.xz","https://cdn.kernel.org/pub/linux/kernel/people/tytso/e2fsprogs/v1.43.9"
"util-linux","2.31.1","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid) ISC (rfkill)","README.licensing Documentation/licenses/COPYING.GPLv2 Documentation/licenses/COPYING.UCB Documentation/licenses/COPYING.LGPLv2.1 Documentation/licenses/COPYING.BSD-3 Documentation/licenses/COPYING.ISC","util-linux-2.31.1.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.31"
"libzlib","1.2.11","Zlib","README","zlib-1.2.11.tar.xz","http://www.zlib.net"
"eudev","3.2.5","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","COPYING","eudev-3.2.5.tar.gz","http://dev.gentoo.org/~blueness/eudev"
"kmod","24","LGPL-2.1+ (library)","libkmod/COPYING","kmod-24.tar.xz","https://cdn.kernel.org/pub/linux/utils/kernel/kmod"
"libarchive","3.3.2","BSD-2-Clause, BSD-3-Clause","COPYING","libarchive-3.3.2.tar.gz","http://www.libarchive.org/downloads"
"libzip","1.4.0","BSD-3-Clause","LICENSE","libzip-1.4.0.tar.xz","http://www.nih.at/libzip"
"linux-firmware","65b1c68c63f974d72610db38dfae49861117cae2","Proprietary","WHENCE","linux-firmware-65b1c68c63f974d72610db38dfae49861117cae2.tar.gz","http://git.kernel.org/pub/scm/linux/kernel/git/firmware/linux-firmware.git"
"grub2","2.02","GPL-3.0+","COPYING","grub-2.02.tar.xz","http://ftp.gnu.org/gnu/grub"
"linux","4.15.9","GPL-2.0","COPYING","linux-4.15.9.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v4.x"
libopenssl	1.0.2n	OpenSSL or SSLeay	LICENSE	openssl-1.0.2n.tar.gz	http://www.openssl.org/source
